ID, Artist, Song, Genre
979,Kate Bush,Breathing,folk
980,Kate Bush,Babooshka,folk
981,Kate Bush,Army Dreamers,folk
982,Kate Bush,December Will Be Magic Again,folk
983,Kate Bush,Sat in Your Lap,folk
984,John Lennon,Mother,folk
985,John Lennon,Power to the People,folk
986,John Lennon,Power to the People,folk
987,John Lennon,Imagine,folk
988,The Harlem Community Choir,Happy Xmas (War Is Over),folk
989,John Lennon,Woman Is the Nigger of the World,folk
990,John Lennon,Mind Games,folk
998,AURORA,Murder Song (5, 4, 3, 2, 1),folk
999,AURORA,Half The World Away,folk
1000,AURORA,Conqueror,folk
1001,Icarus-AURORA,Home,folk
1002,AURORA,I Went Too Far,folk
1003,Alison Krauss,Maybe,folk
1007,Violent Femmes,Machine,folk
1008,Violent Femmes,Memory,folk
1009,Van Morrison-John Lee Hooker,Gloria,folk
